Genus,Genus_species,Skull_length,Optic_foramen_area,Orbit_area,Nocturnal
Allenopithecus,Allenopithecus_nigrovirdidis,98.5,7,298.7,0
Arctocebus,Arctocebus_calabarensis,53.8,1.6,156.6,2
Aotus,Aotus_trivirgatus,60.5,3.1,297.4,2
Ateles,Ateles_geoffroyi,107.6,9.7,409.4,0
Avahi,Avahi_laniger,53.4,1.7,219.3,2
Cacajao,Cacajao_sp,91.8,6.9,372.1,0
Callicebus,Callicebus_moloch,59.7,3.5,163.9,0
Callicebus,Callicebus_torquatus,65.8,3.8,192,0
Callimico,Callimico_goeldi,52.3,3.9,121.2,0
Callithrix,Callithrix_jacchus,43.7,3.2,72.4,0
Cebus,Cebus_sp,87.5,7.5,328.7,0
Cercopithecus,Cercopithecus_cephus,95.9,9.3,344,0
Cercopithecus,Cercopithecus_mitis,108,8.5,409.9,0
Cheirogaleus,Cheirogaleus_major,55.3,1.5,169.8,2
Cheirogaleus,Cheirogaleus_medius,43.3,1.1,117.9,2
Chlorocebus,Chlorocebus_aethiops,102.9,7.8,327.8,0
Colobus,Colobus_guereza,111.6,9.8,376.8,0
Daubentonia,Daubentonia_madagascarensis,86.7,2.9,364.9,2
Erythrocebus,Erythrocebus_patas,125.7,9.8,400.6,0
Eulemur,Eulemur_fulvus,90.4,3.4,306.4,2
Eulemur,Eulemur_macaco,89.5,3.1,295.8,2
Eulemur,Eulemur_mongoz,79,3,251.7,2
Euoticus,Euoticus_elegantus,47.6,2.9,240,2
Galago,Galago_alleni,49.6,2.3,211,2
Galago,Galago_moholi,38.3,2.2,147.9,2
Galago,Galago_senegalensis,43.9,2.6,183.9,2
Galagoides,Galagoides_demidoff,37.3,1.5,109.2,2
Gorilla,Gorilla_gorilla,268.1,15,1236,0
Hapalemur,Hapalemur_griseus,65.5,2.4,200.4,1
Hapalemur,Hapalemur_simus,81.9,3,340.4,1
Homo,Homo_sapiens,186,14,721.1,0
Hylobates,Hylobates_klossi,96.4,7.8,355.3,0
Hylobates,Hylobates_lar,103.8,8.5,434.8,0
Hylobates,Hylobates_syndactylus,123.7,9.7,447.6,0
Indri,Indri_indri,103.3,4.5,427.6,0
Lagothrix,Lagothrix_lagothricha,105.9,7,424.4,0
Lemur,Lemur_catta,83.5,3.2,258.9,1
Leontopithecus,Leontopithecus_rosalia,55.1,2.9,110.3,0
Lepilemur,Lepilemur_sp,50.6,2.2,146,2
Loris,Loris_tardigradus,48.7,1.8,216.8,2
Macaca,Macaca_fascicularis,109.7,8.1,392.7,0
Macaca,Macaca_mulatta,118.7,8.8,372.5,0
Macaca,Macaca_nemestrina,138.2,9,504.2,0
Microcebus,Microcebus_murinus,32.8,1.4,77.6,2
Microcebus,Microcebus_rufus,31.1,1.2,72.4,2
Mirza,Mirza_coquereli,50.7,2.4,157,2
Nasalis,Nasalis_larvatus,119.1,10,426.7,0
Nycticebus,Nycticebus_coucang,57.9,2.4,239.2,2
Nycticebus,Nycticebus_pygmaeus,52.4,2.6,212.9,2
Otolemur,Otolemur_crassicaudatus,64.9,3.1,252.5,2
Otolemur,Otolemur_garnettii,67.5,4.4,272.3,2
Pan,Pan_troglodytes,187.1,14,899.6,0
Perodictus,Perodictus_potto,61.7,2.4,193.2,2
Pithecia,Pithecia_pithecia,75.9,5,215.3,0
Pongo,Pongo_pygmaeus,213.5,17,1189,0
Procolobus,Procolobus_badius,102.8,8.2,408.8,0
Propithecus,Propithecus_diadema,89.4,4.3,392.5,0
Propithecus,Propithecus_verreauxi,81.3,3.4,302.9,0
Pygathrix,Pygathrix_nemaeus,109.2,8,491.7,0
Saguinus,Saguinus_fuscicollis,45.2,3,80.2,0
Saimiri,Saimiri_sciureus,64.1,6.1,181.9,0
Semnopithecus,Semnopithecus_entellus,117.8,9.9,413.6,0
Tarsius,Tarsius_bancanus,38.6,3.1,271.3,2
Tarsius,Tarsius_syrichta,38.9,2.6,248.6,2
Trachypithecus,Trachypithecus_cristatus,92.9,7,403.4,0
Varecia,Varecia_variegata,104.6,4,360.3,1
