,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,DM1,DM2,DM3,DM4,AF1,AF2,AF3,AF4,AF5,AF6,DF1,DF2,DF3
AM1,0,2140,836,2040,800,1344,1195,2843,124,0,1023,194,0,0,0,0,321,0,1376,0,5754,1544,573
AM2,2140,0,4180,960,900,1040,460,220,160,0,0,270,0,0,3140,0,0,0,0,0,2712,0,0
AM3,836,4180,0,7890,2846,1617,362,888,0,0,244,364,596,0,0,975,861,5422,1065,0,4742,3179,0
AM4,2040,960,7890,0,4260,1660,5980,900,480,810,340,1380,0,130,0,0,0,0,0,0,0,670,620
AM5,800,900,2846,4260,0,1811,1360,711,951,1679,612,659,187,0,0,0,0,0,0,0,670,892,1238
AM6,1344,1040,1617,1660,1811,0,2309,0,1351,0,165,0,0,588,0,0,0,0,0,0,2363,248,741
AM7,1195,460,362,5980,1360,2309,0,230,550,0,855,1672,765,312,0,0,0,713,339,0,0,0,0
AM8,2843,220,888,900,711,0,230,0,0,0,142,0,1146,0,2337,934,496,1993,1280,0,304,910,0
AM9,124,160,0,480,951,1351,550,0,0,0,136,0,0,0,0,0,510,0,0,0,0,0,4989
AM10,0,0,0,810,1679,0,0,0,0,0,0,946,0,448,0,0,0,0,0,0,0,0,940
DM1,1023,0,244,340,612,165,855,142,136,0,0,0,204,0,1020,0,0,0,1740,0,2650,1250,0
DM2,194,270,364,1380,659,0,1672,0,0,946,0,0,0,0,0,0,0,0,0,0,1890,520,0
DM3,0,0,596,0,187,0,765,1146,0,0,204,0,0,0,0,0,0,570,0,6190,0,0,0
DM4,0,0,0,130,0,588,312,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0
AF1,0,3140,0,0,0,0,0,2337,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0
AF2,0,0,975,0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF3,321,0,861,0,0,0,0,496,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF4,0,0,5422,0,0,0,713,1993,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0
AF5,1376,0,1065,0,0,0,339,1280,0,0,1740,0,0,0,0,0,0,0,0,0,0,0,0
AF6,0,0,0,0,0,0,0,0,0,0,0,0,6190,0,0,0,0,0,0,0,0,0,0
DF1,5754,2712,4742,0,670,2363,0,304,0,0,2650,1890,0,0,0,0,0,0,0,0,0,0,0
DF2,1544,0,3179,0,892,248,0,910,0,0,1250,520,0,0,0,0,0,0,0,0,0,0,0
DF3,573,0,0,0,1238,741,0,0,4989,940,0,0,0,0,0,0,0,0,0,0,0,0,0
