,M1,F1,F2,F3,M2,F4,F5,F6,F7,M3,F8,F9,F10,M4,F11,F12,F13,F14,M5,F15,M6,F16,F17,F18,F19
M1,0,33,22,15,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0
F1,33,0,7,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
F2,22,7,0,16,0,0,0,0,2,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0
F3,15,6,16,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,2,0,0,0,0,0
M2,0,0,0,0,0,6,7,12,7,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,1
F4,0,0,0,1,6,0,5,0,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
F5,0,0,0,0,7,5,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0
F6,0,0,0,0,12,0,1,0,5,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0
F7,0,0,2,0,7,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M3,0,0,1,0,0,0,0,0,0,0,25,38,30,0,0,0,7,0,0,0,0,0,3,1,0
F8,0,0,0,0,0,0,0,0,0,25,0,8,7,0,0,0,8,1,0,0,0,0,1,1,1
F9,4,0,0,1,0,1,0,0,0,38,8,0,11,0,1,3,6,5,1,0,0,18,1,0,0
F10,1,0,1,0,0,1,2,1,0,30,7,11,0,0,0,1,6,4,0,0,0,0,0,0,1
M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,42,16,0,0,0,4,0,0,0
F11,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,8,8,2,0,2,1,0,4,2,1
F12,0,2,3,1,0,1,2,0,0,0,0,3,1,28,8,0,19,1,0,0,0,0,0,0,0
F13,3,1,0,1,5,0,1,0,0,7,8,6,6,42,8,19,0,1,1,0,1,0,2,0,0
F14,0,0,0,1,0,0,0,3,0,0,1,5,4,16,2,1,1,0,0,0,1,0,0,0,0
M5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,66,0,0,0,0,1
F15,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,66,0,0,0,0,1,0
M6,0,1,0,0,9,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,17,0,0,1
F16,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,17,0,0,0,0
F17,0,0,0,0,0,0,0,0,1,3,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0
F18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
F19,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
